Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Type
Kentucky Kölsch,1535,0.043,,389,Kölsch,16,Other
Kentucky IPA,1149,0.065,,389,American IPA,16,IPA
Dusty Trail Pale Ale,1474,0.054,,402,American Pale Ale (APA),16,APA
Damnesia,1473,0.062,,402,American IPA,16,IPA
Desolation IPA,837,0.062,43,402,American IPA,16,IPA
Liberty Ale,2592,0.059,,36,American IPA,12,IPA
IPA,2578,0.065,,36,American IPA,12,IPA
Summer Wheat,2577,0.045,,36,American Pale Wheat Ale,12,Other Ale
California Lager,2103,0.049,,36,American Amber / Red Lager,12,Lager
Brotherhood Steam,2102,0.056,,36,California Common / Steam Beer,12,Other
Blood Orange Gose,2291,0.042,,172,Gose,12,Other
Keebarlin' Pale Ale,1818,0.042,,172,American Pale Ale (APA),12,APA
"the Kimmie, the Yink and the Holy Gose",1738,0.048,,172,Gose,12,Other
Fall Hornin',1563,0.06,,172,Pumpkin Ale,12,Other Ale
Barney Flats Oatmeal Stout,1520,0.057,13,172,Oatmeal Stout,12,Other
Summer Solstice,1350,0.056,4,172,Cream Ale,12,Other Ale
Hop Ottin' IPA,1327,0.07,80,172,American IPA,12,IPA
Boont Amber Ale,1326,0.058,15,172,American Amber / Red Ale,12,Other Ale
Barney Flats Oatmeal Stout,1221,0.057,13,172,Oatmeal Stout,12,Other
El Steinber Dark Lager,1217,0.055,25,172,Vienna Lager,16,Lager
Boont Amber Ale (2010),811,0.058,15,172,American Amber / Red Ale,12,Other Ale
Summer Solstice Cerveza Crema (2009),753,0.056,4,172,Cream Ale,12,Other Ale
Barney Flats Oatmeal Stout (2012),572,0.057,13,172,Oatmeal Stout,12,Other
Winter Solstice,523,0.069,6,172,Winter Warmer,12,Other
Hop Ottin' IPA (2011),367,0.07,80,172,American IPA,12,IPA
Boont Amber Ale (2011),78,0.058,15,172,American Amber / Red Ale,12,Other Ale
Summer Solstice (2011),77,0.056,4,172,Cream Ale,12,Other Ale
Poleeko Gold Pale Ale (2009),76,0.055,28,172,American Pale Ale (APA),12,APA
Charlie's Rye IPA,2337,0.06,,147,American IPA,16,IPA
River Pig Pale Ale,410,0.054,,543,American Pale Ale (APA),16,APA
Oaky's Oatmeal Stout,409,0.047,,543,Oatmeal Stout,16,Other
Angry Orchard Apple Ginger,1294,0.05,,435,Cider,16,Other
Angry Orchard Crisp Apple,1293,0.05,,435,Cider,16,Other
Angry Orchard Crisp Apple,1292,0.05,,435,Cider,12,Other
Golden One,2207,0.068,,194,Belgian Pale Ale,12,Other Ale
Arjuna,2040,0.06,,194,Witbier,12,Other
Uroboros,2039,0.085,,194,American Stout,12,Other
Long Leaf,2511,0.071,75,70,American IPA,16,IPA
Honey Badger Blonde,2510,0.047,19,70,American Blonde Ale,16,Other Ale
Porter (a/k/a Black Gold Porter),2509,0.06,23,70,American Porter,16,Other
Sky High Rye,413,0.06,55,542,American Pale Ale (APA),12,APA
Whitsun,390,0.062,17,542,American Pale Wheat Ale,12,Other Ale
On-On Ale (2008),735,0.052,,514,American Pale Ale (APA),12,APA
Quakertown Stout,1333,0.092,50,427,American Double / Imperial Stout,12,Other
Greenbelt Farmhouse Ale,1332,0.051,20,427,Saison / Farmhouse Ale,12,Other Ale
Mo's Gose,1172,0.052,10,462,Gose,16,Other
Green Bullet Organic India Pale Ale,1322,0.07,45,430,American IPA,16,IPA
Rocket Girl,550,0.032,27,529,Kölsch,12,Other
Ninja Porter,429,0.053,26,529,American Porter,12,Other
Shiva IPA,428,0.06,69,529,American IPA,12,IPA
Aslan Kölsch,1640,0.048,,354,Kölsch,16,Other
Aslan IPA,1639,0.077,,354,American IPA,16,IPA
Aslan Amber,1638,0.077,,354,American Amber / Red Ale,16,Other Ale
This Season's Blonde,597,0.056,27,524,American Blonde Ale,12,Other Ale
Independence Pass Ale,596,0.07,67,524,American IPA,12,IPA
Trolley Stop Stout,1580,0.057,40,375,American Stout,12,Other
Bitter Bitch Imperial IPA,980,0.082,138,375,American Double / Imperial IPA,12,IPA
Poop Deck Porter,979,0.062,35,375,American Porter,12,Other
Old Red Beard Amber Ale,978,0.06,35,375,American Amber / Red Ale,12,Other Ale
Hop A-Peel,2503,0.075,115,73,American Double / Imperial IPA,16,IPA
Vanilla Java Porter,2502,0.055,12,73,American Porter,16,Other
Michelada,2495,0.052,,73,Fruit / Vegetable Beer,16,Other
Dirty Blonde Ale,534,0.045,8,73,American Blonde Ale,12,Other Ale
Grand Circus IPA,528,0.05,62,73,American IPA,12,IPA
Atwater's Lager,527,0.05,12,73,Munich Helles Lager,12,Lager
Heavy Machinery IPA Series #1: Heavy Fist,1409,0.07,,414,American Black Ale,16,Other Ale
Fire Eagle IPA,343,0.062,,414,American IPA,12,IPA
Peacemaker,342,0.051,,414,American Pale Ale (APA),12,APA
Pearl-Snap,341,0.053,,414,German Pilsener,12,Other
Black Thunder,340,0.052,,414,Schwarzbier,12,Other
Raja,2589,0.08,,38,American Double / Imperial IPA,12,IPA
Perzik Saison,2546,0.064,,38,Saison / Farmhouse Ale,12,Other Ale
Avery Joe’s Premium American Pilsner,146,0.047,42,38,German Pilsener,12,Other
White Rascal,108,0.056,10,38,Witbier,12,Other
Avery India Pale Ale,107,0.063,69,38,American IPA,12,IPA
