Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Type
Belfort,2637,0.067,,11,Saison / Farmhouse Ale,16,Other Ale
Star Runner,2636,0.06,,11,Belgian Pale Ale,16,Other Ale
Tart Side of the Barrel,2598,0.098,,11,American Double / Imperial Stout,16,Other
Linnaeus Mango IPA,2597,0.06,,11,American IPA,16,IPA
Beasts A'Burnin',2548,0.07,,11,Rauchbier,16,Other
Verdun,2542,0.077,,11,Bière de Garde,16,Other
Barrel Aged Triomphe,2541,0.065,,11,Belgian IPA,16,IPA
Cherry Doppelbock,2504,0.065,,11,Doppelbock,16,Other
Tropical Saison,2500,0.065,,11,Saison / Farmhouse Ale,16,Other Ale
Beach Patrol,2499,0.065,,11,Witbier,16,Other
Nuit Serpent,2498,0.05,,11,Belgian IPA,16,IPA
Paris,2481,0.09,,11,Saison / Farmhouse Ale,16,Other Ale
The Grand Army,2476,0.055,,11,Belgian IPA,16,IPA
Acidulated Trip,2467,0.059,,11,Saison / Farmhouse Ale,16,Other Ale
Root Stock,2466,0.066,,11,Rye Beer,16,Other
Mind Games,2465,0.041,,11,Dunkelweizen,16,Other
Sous Chef,2433,0.082,,11,Belgian Strong Pale Ale,16,Other Ale
Dubbelicious,2418,0.065,,11,Dubbel,16,Other
Psychopomp,2416,0.062,,11,Belgian Dark Ale,16,Other Ale
Fat Paczki,2382,,,11,Belgian Dark Ale,16,Other Ale
Earth-Like Planets,2381,,,11,Belgian Pale Ale,16,Other Ale
Ski Patrol,2290,0.061,,11,Witbier,16,Other
Viking Ice Hole,2241,0.063,,11,Oatmeal Stout,16,Other
Rye Porter,2240,0.056,,11,American Porter,16,Other
Wizard Burial Ground,2137,0.099,,11,Quadrupel (Quad),16,Other
Smoky Wheat,2101,0.051,,11,Rauchbier,16,Other
BRIPA,2092,0.062,,11,Belgian IPA,16,IPA
Mela,2091,0.062,,11,Belgian Dark Ale,16,Other Ale
W.I.P.A Snappa,2086,0.053,,11,Belgian IPA,16,IPA
Pepper in the Rye,2023,0.063,,11,Rye Beer,16,Other
Moe Lasses',2006,0.064,,11,American Stout,16,Other
Pumpkin Tart,1997,0.07,,11,Fruit / Vegetable Beer,16,Other
Undertaker,1977,0.067,,11,Belgian Dark Ale,16,Other Ale
Undertaker (2014),1976,0.067,,11,Belgian Dark Ale,16,Other Ale
Coq D'Or,1974,0.05,,11,Belgian Pale Ale,16,Other Ale
North French,1973,0.06,,11,Bière de Garde,16,Other
Agent a Deux,1959,0.065,,11,Belgian Dark Ale,16,Other Ale
Belgian Wit,1958,0.045,,11,Witbier,16,Other
Pothole Stout,1949,0.063,,11,American Stout,16,Other
Tree Bucket,1947,0.093,,11,Belgian IPA,16,IPA
Le Flaneur Ale,1785,0.073,,11,American Wild Ale,16,Other Ale
Maize & Blueberry,1651,0.056,,11,Fruit / Vegetable Beer,16,Other
Trebuchet Double IPA,1443,0.093,,11,American Double / Imperial IPA,16,IPA
Contemplation,1352,0.065,,11,Bière de Garde,16,Other
Black Rabbit,1267,0.05,,11,American Black Ale,16,Other Ale
Zaison,1266,0.09,,11,Saison / Farmhouse Ale,16,Other Ale
Vivant Tripel,1178,0.082,,11,Tripel,16,Other
Tart Side of the Moon,1136,0.098,,11,Belgian Dark Ale,16,Other Ale
Big Red Coq,1044,0.06,,11,American Amber / Red Ale,16,Other Ale
Hubris Quadrupel Anniversary Ale,1033,0.099,,11,Quadrupel (Quad),16,Other
Plow Horse Belgian Style Imperial Stout,1031,0.095,,11,American Double / Imperial Stout,16,Other
Escoffier Bretta Ale,909,0.092,,11,American Wild Ale,16,Other Ale
Contemplation (2012),873,0.065,,11,Bière de Garde,16,Other
Vivant Belgian Style Imperial Stout (2012),860,0.099,,11,Russian Imperial Stout,16,Other
Big Red Coq (2012),677,0.062,,11,American Amber / Red Ale,16,Other Ale
Zaison (2012),671,0.09,,11,Saison / Farmhouse Ale,16,Other Ale
Vivant Tripel (2012),670,0.092,,11,Tripel,16,Other
Trebuchet Double IPA (2012),669,0.097,,11,Belgian IPA,16,IPA
Kludde,627,0.085,,11,Belgian Strong Dark Ale,16,Other Ale
Farm Hand,387,0.055,,11,Saison / Farmhouse Ale,16,Other Ale
Solitude,385,0.06,,11,Belgian Pale Ale,16,Other Ale
Triomphe,384,0.065,,11,Belgian IPA,16,IPA
Tampa Pale Ale,1096,,,468,American Pale Ale (APA),12,APA
Orange Grove Wheat Ale,1095,,,468,American Pale Wheat Ale,12,Other Ale
Broad Brook Ale,2456,0.061,,90,American Amber / Red Ale,16,Other Ale
Northern Lights Amber Ale,921,0.05,15,494,American Amber / Red Ale,12,Other Ale
Polar Pale Ale,920,0.052,17,494,American Pale Ale (APA),12,APA
Chugach Session Ale,919,0.048,,494,Cream Ale,12,Other Ale
Fairweather IPA,648,0.061,64,494,American IPA,12,IPA
East India Pale Ale,1279,0.068,47,438,English India Pale Ale (IPA),16,IPA
Brooklyn Summer Ale,756,0.045,,438,English Pale Mild Ale,12,Other Ale
East India Pale Ale,566,0.068,47,438,English India Pale Ale (IPA),12,IPA
Brooklyn Summer Ale (2011),328,0.045,,438,English Pale Mild Ale,12,Other Ale
Brooklyn Lager (16 oz.),66,0.052,,438,American Amber / Red Lager,16,Lager
Brooklyn Lager (12 oz.),65,0.052,,438,American Amber / Red Lager,12,Lager
Tour de Nez Belgian IPA (Current),538,0.08,,531,Belgian IPA,16,IPA
Roler Bock (Current),504,,,531,Maibock / Helles Bock,16,Other
Black Adder IBA (Current),383,0.073,85,531,American Black Ale,16,Other Ale
Very Noddy Lager (Current),29,0.099,,531,Schwarzbier,16,Other
Tule Duck Red Ale (Current),28,0.062,42,531,American Amber / Red Ale,16,Other Ale
Original Orange Blossom Ale (Current),27,0.058,35,531,Herbed / Spiced Beer,16,Other
Black Noddy Lager (Current),26,0.052,40,531,Schwarzbier,16,Other
Cleveland Beer Week 2013,1627,0.053,,358,Munich Helles Lager,16,Lager
Painted Turtle,2552,0.045,,57,American Pale Ale (APA),12,APA
1836,2125,0.06,40,215,American Blonde Ale,12,Other Ale
Summer's Wit,2124,0.06,20,215,Witbier,12,Other
More Cowbell,2123,0.09,118,215,American Double / Imperial IPA,16,IPA
Wrath of Pele,2608,0.065,,25,American Brown Ale,16,Other Ale
Black Beer'd,2607,0.068,,25,American Black Ale,16,Other Ale
Mr. Tea,2606,0.078,,25,Fruit / Vegetable Beer,24,Other
Pale Alement,2478,0.055,40,25,American Pale Ale (APA),12,APA
Hopkick Dropkick,2471,0.099,115,25,American Double / Imperial IPA,12,IPA
Kreamed Corn,2470,0.06,,25,Cream Ale,12,Other Ale
Coconoats,2464,0.065,,25,American Pale Wheat Ale,16,Other Ale
Joey Wheat,2160,0.068,16,25,American Pale Wheat Ale,16,Other Ale
3:33 Black IPA,2158,0.072,86,25,American IPA,16,IPA
MCA,2072,0.068,,25,American IPA,16,IPA
Pale Alement,2054,0.055,40,25,American Pale Ale (APA),16,APA
Couch Select Lager,2196,0.05,14,198,American Pale Lager,12,Lager
Mucho Aloha Hawaiian Pale Ale,668,0.056,36,518,American Pale Ale (APA),12,APA
Heinnieweisse Weissebier,52,0.049,,557,Hefeweizen,12,Other
Snapperhead IPA,51,0.068,,557,American IPA,12,IPA
Moo Thunder Stout,50,0.049,,557,Milk / Sweet Stout,12,Other
Porkslap Pale Ale,49,0.043,,557,American Pale Ale (APA),12,APA
Blackbeard,2657,0.093,,6,American Double / Imperial Stout,12,Other
Rye Knot,2656,0.062,,6,American Brown Ale,12,Other Ale
Dead Arm,2655,0.06,,6,American Pale Ale (APA),12,APA
32°/50° Kölsch ,2654,0.048,,6,Kölsch,16,Other
HopArt,2653,0.077,,6,American IPA,16,IPA
Boy King,2652,0.097,,6,American Double / Imperial IPA,16,IPA
Gran Sport,2252,0.052,,183,American Porter,16,Other
Horny Toad Cerveza,2214,0.053,25,183,American Blonde Ale,16,Other Ale
Native Amber,2213,0.063,35,183,American Amber / Red Ale,16,Other Ale
F5 IPA,1442,0.068,100,183,American IPA,16,IPA
Native Amber (2013),170,0.063,35,183,American Amber / Red Ale,16,Other Ale
Horny Toad Cerveza (2013),169,0.053,25,183,American Blonde Ale,16,Other Ale
Hopportunity Knocks IPA,2315,0.068,100,156,American IPA,12,IPA
Pilot Rock Porter,1808,0.06,,156,American Porter,12,Other
Caldera Pale Ale,1419,0.056,55,156,American Pale Ale (APA),12,APA
Lawnmower Lager,878,0.039,16,156,American Adjunct Lager,12,Lager
Ashland Amber Ale (2009),794,0.054,24,156,American Amber / Red Ale,12,Other Ale
Caldera IPA (2009),793,0.061,94,156,American IPA,12,IPA
Caldera IPA (2007),792,0.061,94,156,American IPA,12,IPA
Caldera Pale Ale (2010),791,0.056,55,156,American Pale Ale (APA),12,APA
Caldera Pale Ale (2009),790,0.056,55,156,American Pale Ale (APA),12,APA
Caldera Pale Ale (2005),789,0.056,55,156,American Pale Ale (APA),12,APA
Caldera Pale Ale (2007),788,0.056,55,156,American Pale Ale (APA),12,APA
Caldera Pale Ale (2011),38,0.056,55,156,American Pale Ale (APA),12,APA
Ashland Amber Ale,37,0.054,24,156,American Amber / Red Ale,12,Other Ale
Caldera IPA,36,0.061,94,156,American IPA,12,IPA
Remain in Light,2257,0.05,,179,American Pilsner,12,Other
Flower Child (2014),2256,0.065,,179,American IPA,12,IPA
THP White (2006),870,,,498,Witbier,12,Other
THP Amber (2006),869,,,498,American Amber / Red Ale,12,Other Ale
THP Light (2006),868,,,498,American Blonde Ale,12,Other Ale
THP Dark (2006),867,,,498,English Dark Mild Ale,12,Other Ale
Imperial Pumpkin Stout,2068,0.099,43,231,Pumpkin Ale,16,Other Ale
Dead-Eye DIPA,2067,0.09,130,231,American Double / Imperial IPA,16,IPA
Fisherman's IPA,2066,0.055,64,231,American IPA,12,IPA
Fisherman's Pils,2065,0.054,35,231,German Pilsener,12,Other
Fisherman's Brew,2064,0.055,30,231,American Amber / Red Ale,12,Other Ale
Cape Cod Red,1928,0.055,35,268,American Amber / Red Ale,16,Other Ale
Beach Blonde,1927,0.049,10,268,American Blonde Ale,16,Other Ale
Dark Voyage Black IPA (2013),2227,0.065,80,193,American Black Ale,12,Other Ale
Wisconsin Amber,2226,0.052,28,193,Vienna Lager,12,Lager
Lake House,2225,0.046,18,193,Munich Helles Lager,12,Lager
Ghost Ship White IPA,1954,0.056,55,193,American IPA,12,IPA
Lake House,1910,0.046,18,193,Munich Helles Lager,16,Lager
Mutiny IPA,1177,0.062,70,193,American IPA,12,IPA
Wisconsin Amber (1998),840,0.052,,193,Vienna Lager,12,Lager
Island Wheat,180,0.042,,193,American Pale Wheat Ale,12,Other Ale
Wisconsin Amber (2013),63,0.052,,193,Vienna Lager,12,Lager
U.S. Pale Ale,62,0.05,,193,American Pale Ale (APA),12,APA
Supper Club Lager,61,,,193,American Pale Lager,12,Lager
Carolina Lighthouse (2007),784,0.04,,505,American Blonde Ale,12,Other Ale
Carolina Blonde (2006),783,0.05,,505,American Blonde Ale,12,Other Ale
Carolina Blonde Light (2005),782,0.035,,505,American Blonde Ale,12,Other Ale
Santa's Secret,2255,0.059,22,180,Winter Warmer,16,Other
Flagship IPA,530,0.057,,180,English India Pale Ale (IPA),12,IPA
Sky Blue Golden Ale,427,0.051,,180,Kölsch,12,Other
Epitome,2094,0.099,100,223,American Black Ale,16,Other Ale
Monkey Chased the Weasel,1941,0.039,9,223,Berliner Weissbier,16,Other
077XX,1940,0.078,80,223,American Double / Imperial IPA,16,IPA
Boat Beer,1439,0.042,35,223,American IPA,12,IPA
Granny Smith Hard Apple Cider,1465,0.069,,405,Cider,16,Other
Dry Hard Apple Cider,1464,0.069,,405,Cider,16,Other
Farmer Ted's Cream Ale,1744,0.056,,332,Cream Ale,12,Other Ale
Firewater India Pale Ale,1743,0.052,,332,American IPA,12,IPA
White Zombie Ale,1742,0.047,,332,Witbier,12,Other
King Winterbolt Winter Ale,1719,0.07,,332,Winter Warmer,12,Other
White Zombie Ale,638,0.047,,332,Witbier,12,Other
Firewater India Pale Ale,507,0.052,,332,American IPA,12,IPA
Farmer Ted's Farmhouse Cream Ale,480,0.056,,332,Cream Ale,12,Other Ale
Whitecap Wit,1882,0.048,16,286,Witbier,16,Other
Seiche Scottish Ale,1881,0.078,16,286,Scottish Ale,16,Other Ale
Peanut Butter Jelly Time,2446,0.058,,97,American Brown Ale,12,Other Ale
King Coconut,2106,0.054,,97,American Porter,12,Other
Gone A-Rye,2600,0.085,90,30,American Double / Imperial IPA,16,IPA
Special Release,2210,,,30,,16,Other
Dankosaurus,2052,0.068,70,30,American IPA,16,IPA
Scruffy's Smoked Alt,1584,0.051,35,30,Smoked Beer,16,Other
Elliott's Phoned Home Pale Ale,1182,0.051,36,30,American Pale Ale (APA),16,APA
The Lawn Ranger,1050,0.05,18,30,Cream Ale,16,Other Ale
All American Blonde Ale,1219,0.05,,453,American Blonde Ale,12,Other Ale
All American Red Ale,1218,0.05,,453,American Amber / Red Ale,12,Other Ale
Main St. Virginia Ale,2377,0.05,40,123,Altbier,12,Other
Chin Music Amber Lager,1839,0.045,24,123,American Amber / Red Lager,12,Lager
Main St. Virginia Ale,1248,0.05,40,123,Altbier,12,Other
Ray Ray’s Pale Ale,1247,0.052,42,123,American Pale Ale (APA),12,APA
Chai Ale,1649,0.051,15,351,Herbed / Spiced Beer,16,Other
Lucky Day IPA,1648,0.072,85,351,American IPA,16,IPA
Terrace Hill Double IPA,1647,0.095,99,351,American Double / Imperial IPA,16,IPA
Catch 23,1646,0.075,77,351,American Black Ale,16,Other Ale
Stickin' In My Rye,2057,0.07,,237,Rye Beer,24,Other
Black Me Stout,2056,0.06,45,237,American Stout,12,Other
Killer Kolsch,2055,0.05,22,237,Kölsch,12,Other
Missile IPA,1933,0.07,65,237,American IPA,12,IPA
Enlighten,2019,0.045,,251,Kölsch,16,Other
Ale Cider,2018,0.065,8,251,Fruit / Vegetable Beer,16,Other
Pail Ale,2017,0.055,30,251,American Pale Ale (APA),16,APA
Englishman,2016,0.045,,251,English Brown Ale,16,Other Ale
8 Barrel,2080,0.08,69,227,American Strong Ale,16,Other Ale
Oktoberfest,2079,0.055,40,227,Märzen / Oktoberfest,16,Other
IPA #11,2380,0.057,58,122,American IPA,16,IPA
Blood Orange Honey,2379,0.057,10,122,Fruit / Vegetable Beer,16,Other
Lighthouse Amber,2354,0.052,,122,Altbier,16,Other
Bay of Bengal Double IPA (2014),2440,0.089,126,100,American Double / Imperial IPA,12,IPA
Churchkey Pilsner Style Beer,567,0.049,29,527,American Pilsner,12,Other
First Press,1342,0.05,,426,Cider,12,Other
Magic Apple,1341,0.05,,426,Cider,12,Other
Cubano Espresso,2349,0.055,25,142,Bock,12,Other
Operation Homefront,2014,0.062,65,142,American IPA,12,IPA
Wandering Pelican,2013,0.082,65,142,American Black Ale,12,Other Ale
Sugar Plum,2012,0.055,,142,American Brown Ale,12,Other Ale
Oktoberfest,2011,0.055,,142,Märzen / Oktoberfest,12,Other
Puppy's Breath Porter,2010,0.06,,142,American Porter,12,Other
Happening Now,2009,0.045,,142,American IPA,12,IPA
Hopped on the High Seas (Hop #529),1726,0.07,60,142,American IPA,12,IPA
Hopped on the High Seas (Calypso),1725,0.07,60,142,American IPA,12,IPA
Wiregrass Post-Prohibition Ale,1695,0.063,,142,American Pale Ale (APA),12,APA
Dry-Hopped On The High Seas Caribbean-Style IPA,1694,0.07,60,142,American IPA,12,IPA
Hopped on the High Seas (Citra),1693,0.07,60,142,American IPA,12,IPA
Hopped on the High Seas (Ahtanum),1692,0.07,60,142,American IPA,12,IPA
Gwar Beer,1369,0.055,,142,American Pale Ale (APA),12,APA
Tropical Heatwave,1243,0.052,,142,American Pale Wheat Ale,16,Other Ale
Humidor Series India Pale Ale,1142,0.075,70,142,American IPA,12,IPA
Jai Alai IPA Aged on White Oak,1141,0.075,70,142,American IPA,12,IPA
José Martí American Porter,1140,0.08,65,142,American Porter,12,Other
Invasion Pale Ale,1139,0.05,,142,American Pale Ale (APA),12,APA
Maduro Brown Ale,1138,0.055,25,142,English Brown Ale,12,Other Ale
Maduro Brown Ale,571,0.055,25,142,American Brown Ale,12,Other Ale
Hotter Than Helles Lager,570,0.05,,142,Munich Helles Lager,12,Lager
Tocobaga Red Ale,569,0.072,75,142,American Amber / Red Ale,12,Other Ale
Jai Alai IPA,546,0.075,70,142,American IPA,12,IPA
Florida Cracker Belgian Wit,545,0.05,18,142,Witbier,12,Other
Shark Tracker Light lager,2338,0.048,,146,Light Lager,12,Lager
Pumple Drumkin,1365,0.06,,146,Pumpkin Ale,12,Other Ale
Grey Lady,1094,0.045,,146,Witbier,12,Other
Summer of Lager,657,0.062,,146,Munich Helles Lager,12,Lager
Indie Pale Ale,656,0.065,,146,American IPA,12,IPA
Sankaty Light Lager,359,0.038,,146,Light Lager,12,Lager
Whale's Tale Pale Ale,56,0.056,,146,English Pale Ale,12,Other Ale
Jacaranada Rye IPA,1772,0.067,60,321,American IPA,16,IPA
Cascadian Dark Ale,1393,0.06,75,419,American Black Ale,12,Other Ale
Wheat the People,893,0.044,13,419,American Pale Wheat Ale,16,Other Ale
Tybee Island Blonde,1407,0.047,17,416,American Blonde Ale,12,Other Ale
Savannah Brown Ale,1406,0.062,55,416,American Brown Ale,12,Other Ale
Rhode Island Blueberry,2438,0.046,11,102,Kölsch,12,Other
Newport Storm IPA,2437,0.065,75,102,American IPA,12,IPA
Hurricane Amber Ale (2004),751,0.052,24,102,American Amber / Red Ale,12,Other Ale
Hurricane Amber Ale,120,0.052,24,102,American Amber / Red Ale,12,Other Ale
Big Blue Van,2061,0.058,,233,Fruit / Vegetable Beer,16,Other
Des Moines IPA,970,0.068,75,483,American IPA,16,IPA
Capital Gold Golden Lager,969,0.048,22,483,German Pilsener,16,Other
Farmer John's Multi-Grain Ale,968,0.056,21,483,American Blonde Ale,16,Other Ale
Behemoth,2351,0.05,,140,American Pilsner,12,Other
Arkansas Red,1650,0.052,,140,American Amber / Red Ale,12,Other Ale
Core Oatmeal Stout,1337,0.057,,140,Oatmeal Stout,12,Other
Core ESB,1336,0.061,,140,Extra Special / Strong Bitter (ESB),12,Other
Chester's Beer (2005),737,0.038,,513,American Pale Lager,12,Lager
Heiner Brau Kölsch,129,0.05,,554,Kölsch,12,Other
Trigger Blonde Ale,716,0.048,,516,American Blonde Ale,16,Other Ale
Crabtree Oatmeal Stout,659,0.075,29,516,Oatmeal Stout,16,Other
Eclipse Black IPA,556,0.077,71,516,American Black Ale,16,Other Ale
Neomexicanus Native,2538,0.06,46,64,American Pale Ale (APA),12,APA
Old Soul,2355,0.075,25,64,Belgian Strong Pale Ale,12,Other Ale
Snowcat Coffee Stout,1689,0.059,,64,American Stout,12,Other
WinterWonderGrass Festival Ale,1163,,,64,American Amber / Red Ale,12,Other Ale
Boohai Red Ale,940,,,64,American Amber / Red Ale,12,Other Ale
Lava Lake Wit,685,0.052,15,64,Witbier,12,Other
Mountain Livin' Pale Ale,613,0.06,,64,American Pale Ale (APA),12,APA
Crazy Mountain Amber Ale,356,0.052,25,64,American Amber / Red Ale,12,Other Ale
Tropicalia,2029,0.065,65,248,American IPA,12,IPA
Athena,2028,0.045,,248,Berliner Weissbier,12,Other
Aviator Raspberry Blonde,2293,0.049,25,170,American Blonde Ale,12,Other Ale
3 Picket Porter,1105,0.055,,170,American Porter,12,Other
Rusty Nail Pale Ale,1104,0.056,,170,American Pale Ale (APA),12,APA
Red Water Irish Style Red,2145,0.065,,213,American Amber / Red Ale,12,Other Ale
Mjöllnir,1804,0.066,,213,Herbed / Spiced Beer,12,Other
Bear Butte Nut Brown Ale,1602,0.055,,213,American Brown Ale,12,Other Ale
Easy Livin' Summer Ale,1301,0.045,,213,American Blonde Ale,12,Other Ale
Canyon Cream Ale,542,0.055,,213,Cream Ale,12,Other Ale
Pile O'Dirt Porter,272,0.069,,213,American Porter,12,Other
11th Hour IPA,271,0.06,,213,American IPA,12,IPA
South Ridge Amber Ale,1057,0.06,31,473,American Amber / Red Ale,16,Other Ale
Summertime Ale,681,0.052,23,473,Kölsch,16,Other
Lost River Blonde Ale,1789,0.049,,316,American Blonde Ale,16,Other Ale
Monon Wheat,1788,0.054,,316,Witbier,16,Other
Floyd's Folly,1787,0.08,,316,Scottish Ale,16,Other Ale
Half Court IPA,1786,0.063,,316,American IPA,16,IPA
Geary's Pale Ale,1763,0.045,,324,English Pale Ale,12,Other Ale
Geary's Summer Ale,1311,0.06,,324,Kölsch,12,Other
Stone of Arbroath,2078,0.08,,228,Scotch Ale / Wee Heavy,12,Other Ale
The Tradition,1809,0.05,15,228,American Blonde Ale,12,Other Ale
El Hefe Speaks,1263,0.053,11,228,Hefeweizen,12,Other
Penn Quarter Porter,1092,0.055,,228,American Porter,12,Other
On the Wings of Armageddon,851,0.092,115,228,American Double / Imperial IPA,12,IPA
The Corruption,186,0.065,80,228,American IPA,12,IPA
The Citizen,185,0.07,,228,Belgian Pale Ale,12,Other Ale
The Public,184,0.06,,228,American Pale Ale (APA),12,APA
Dank IPA,1224,0.065,,452,American IPA,16,IPA
Dank IPA (2012),964,0.065,,452,American IPA,16,IPA
Lift Off IPA,1623,0.072,,359,American IPA,16,IPA
BrewFarm Select Golden Lager,110,0.055,,555,American Pale Lager,12,Lager
Sprocket Blonde Ale (2006),1735,0.05,,334,American Blonde Ale,12,Other Ale
Sprocket Pale Ale (2006),1734,0.05,,334,American Pale Ale (APA),12,APA
Dead Armadillo Amber Ale,1746,0.063,37,331,American Amber / Red Ale,12,Other Ale
Neato Bandito,2371,0.06,,128,Euro Pale Lager,12,Lager
Oak Cliff Coffee Ale,2251,0.075,33,128,American Brown Ale,12,Other Ale
Dream Crusher Double IPA,2166,0.085,100,128,American Double / Imperial IPA,12,IPA
Deep Ellum Pale Ale,1827,0.06,,128,American Pale Ale (APA),12,APA
Double Brown Stout,1203,0.07,,128,Baltic Porter,12,Other
Farmhouse Wit,1202,0.048,25,128,Saison / Farmhouse Ale,16,Other Ale
Rye Pils Session Lager,1161,0.046,,128,German Pilsener,12,Other
Dallas Blonde,946,0.052,23,128,American Blonde Ale,12,Other Ale
Deep Ellum IPA,943,0.07,70,128,American IPA,12,IPA
Thrasher Session India Pale Ale,1886,0.045,44,284,American IPA,12,IPA
Gutch English Style Mild Ale,1885,0.05,16,284,English Pale Mild Ale,12,Other Ale
Chuli Stout,1213,0.059,55,454,Irish Dry Stout,12,Other
Mother Ale,1159,0.056,46,454,American Blonde Ale,12,Other Ale
Twister Creek India Pale Ale,947,0.065,71,454,American IPA,12,IPA
Single Engine Red,929,0.058,46,454,Irish Red Ale,12,Other Ale
Incredible Pedal IPA,1944,0.07,,264,American IPA,12,IPA
Graham Cracker Porter,1943,0.05,,264,American Porter,12,Other
Mirror Pond Pale Ale,1210,0.05,40,455,American Pale Ale (APA),12,APA
Weissenheimer,2550,0.052,16,58,Hefeweizen,12,Other
Abbey's Single (2015- ),2505,0.049,22,58,Abbey Single Ale,12,Other Ale
Vertex IPA,2025,0.063,76,58,American IPA,12,IPA
Here Gose Nothin',2021,0.05,12,58,Gose,12,Other
Strawberry Blonde,2015,0.05,,58,Fruit / Vegetable Beer,12,Other
Hoperation Overload,1888,0.096,85,58,American Double / Imperial IPA,12,IPA
Abbey's Single Ale (Current),1887,0.049,22,58,Abbey Single Ale,12,Other Ale
Bravo Four Point,2051,0.044,45,238,American Pale Ale (APA),12,APA
Striped Bass Pale Ale,1201,0.052,26,238,American Pale Ale (APA),12,APA
Deadicated Amber,924,0.054,27,492,American Amber / Red Ale,16,Other Ale
Kaleidoscope Collaboration 2012,731,,,492,American Black Ale,16,Other Ale
California Sunshine Rye IPA,730,0.071,85,492,American IPA,16,IPA
Full Boar Scotch Ale,647,0.074,12,492,Scotch Ale / Wee Heavy,16,Other Ale
12 Man Pale Ale,1773,0.045,,320,American Pale Ale (APA),12,APA
Filthy Hoppin' IPA,1795,0.065,72,312,American IPA,16,IPA
Dock Street Amber Beer (1992),944,,,489,American Amber / Red Ale,12,Other Ale
Dolores River Hefeweizen,524,,,532,Hefeweizen,16,Other
Dolores River ESB,450,,,532,Extra Special / Strong Bitter (ESB),16,Other
Snaggletooth Double Pale Ale,449,,,532,American Double / Imperial IPA,16,IPA
Dolores River Pale Ale,448,,,532,American Pale Ale (APA),16,APA
Dolores River Dry Stout,447,,,532,Irish Dry Stout,16,Other
Dolores River Mild,446,,,532,English Dark Mild Ale,16,Other Ale
Cranberry Blend,1246,0.049,,447,Cider,12,Other
Orignal Blend,977,0.051,,447,Cider,12,Other
Hop Abomination,881,0.066,100,497,American IPA,12,IPA
Apricot Blonde,880,0.051,17,497,Fruit / Vegetable Beer,12,Other
Dry Dock Hefeweizen,872,0.043,12,497,Hefeweizen,12,Other
Dry Dock Amber Ale,871,0.058,49,497,American Amber / Red Ale,12,Other Ale
Category 3 IPA,1685,0.061,64,341,American IPA,12,IPA
Dundee Summer Wheat Beer,457,0.045,18,539,American Pale Wheat Ale,12,Other Ale
Pumpkin Patch Ale,1590,0.05,,370,Pumpkin Ale,16,Other Ale
Crank Yanker IPA,1382,0.078,74,370,American IPA,16,IPA
River Runners Pale Ale,1110,0.06,,370,American Pale Ale (APA),16,APA
Pumpkin Patch Ale (2012),1014,0.05,,370,Pumpkin Ale,16,Other Ale
Mountain Fairy Raspberry Wheat,911,0.055,,370,Fruit / Vegetable Beer,16,Other
Boater Beer,680,0.045,,370,German Pilsener,16,Other
Crank Yanker IPA (2011),395,0.078,74,370,American IPA,16,IPA
Bleeding Buckeye Red Ale,1642,0.057,,353,Extra Special / Strong Bitter (ESB),16,Other
Dottie Seattle Lager,673,0.049,25,517,American Amber / Red Lager,16,Lager
Nut Sack Imperial Brown Ale,1107,0.07,,466,American Brown Ale,12,Other Ale
Underachiever,1039,0.05,,474,American Adjunct Lager,16,Lager
Lil' Brainless Raspberries,2477,0.052,,82,Fruit / Vegetable Beer,12,Other
Element 29,2008,0.052,,82,American Pale Ale (APA),12,APA
Hop Syndrome,2004,0.05,,82,American Pale Lager,12,Lager
Escape to Colorado,2003,0.062,,82,American IPA,12,IPA
Little Sister India Style Session Ale,2292,0.043,60,171,American IPA,12,IPA
Country Boy IPA,1504,0.062,80,171,American IPA,12,IPA
Blonde Czich,2604,0.049,23,27,American Blonde Ale,16,Other Ale
White Reaper,2432,0.07,61,27,Belgian IPA,16,IPA
Bobblehead,2431,0.051,,27,American Pale Wheat Ale,16,Other Ale
Lucky Dog,2430,0.052,,27,American Pale Ale (APA),16,APA
Voodoo,2429,0.048,,27,American Porter,16,Other
General George Patton Pilsner,1967,0.054,48,27,Czech Pilsener,16,Other
Nomader Weiss,2283,0.04,,174,Berliner Weissbier,12,Other
Molotov Lite,2248,0.085,,174,American Double / Imperial IPA,16,IPA
Hipster Ale (Two Roads Brewing),1287,0.055,,174,American Pale Ale (APA),12,APA
Bikini Beer,1286,0.027,,174,American IPA,12,IPA
Hipster Ale (Westbrook Brewing),640,0.055,,174,American Pale Ale (APA),12,APA
Iron Horse Pale Ale,1722,0.05,32,336,American Pale Ale (APA),12,APA
Stone's Throw IPA,1435,0.045,19,336,Scottish Ale,12,Other Ale
Wood Chipper India Pale Ale,1434,0.067,70,336,American IPA,12,IPA
Trail Head,2089,0.063,55,225,American Pale Ale (APA),12,APA
Hop Stalker Fresh Hop IPA,2088,0.07,80,225,American IPA,16,IPA
Sudice American Stout,1455,0.07,58,406,American Stout,16,Other
Parcae Belgian Style Pale Ale,1454,0.05,20,406,Belgian Pale Ale,16,Other Ale
Norns Roggenbier,1453,0.05,20,406,Roggenbier,16,Other
Laimas Kölsch Style Ale,1452,0.05,20,406,Kölsch,16,Other
Moirai India Pale Ale,1451,0.07,70,406,American IPA,16,IPA
